FileName,md5Hash,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
sample1.exe,1a5ea6c5220b8f6c7ee430124b4178b9,Machine8,1261,4883389,2,11,5349660,100,6337063,7,15862,37,833,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample2.exe,a2b3a721816f8da65d96517752929c5a,Machine9,1447,5023290,3,10,6084084,373,6623359,7,9219,52,563,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample3.exe,c1ce854fbd5194001bc016c831308828,Machine3,1195,4200216,4,11,5258304,191,6892751,5,5444,60,829,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample4.exe,9d0cf8ffa4f7a1079fb371541bca5b74,Machine4,1125,4345970,1,10,5718986,328,6602765,4,5221,28,493,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample5.exe,d12577f709dc37e3ffc2fba5ee491e01,Machine4,895,5156112,4,10,5878652,287,6349987,9,11103,50,837,,0
sample6.exe,be912db8df6b2988a9b368d033604ae9,Machine7,951,5118400,2,10,6190221,121,7119334,8,6043,21,987,,1
sample7.exe,e6b05f7b151198b29c03f42ce57d6a17,Machine1,1835,4869988,1,10,6061291,163,6809467,9,8818,36,479,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample8.exe,acf5217a7eb79743043c71f25407c7a4,Machine4,1007,5044194,1,10,5826050,322,6901131,6,14313,47,201,,1
sample9.exe,99a40439b8fa4d9fc1eacd74885cdb10,Machine7,1776,5126779,2,7,5835173,201,6816103,7,10819,50,821,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample10.exe,60d24186a196b8048e7e9e9b0f570868,Machine4,1004,4614157,3,10,5331911,245,6836555,4,12066,39,1016,,1
sample11.exe,778134a73222a819dfc4f1b1d60993df,Machine10,1641,4293377,2,10,5610583,138,6739952,3,12713,35,647,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample12.exe,30a878c80ea07baac1b9ed151fc93726,Machine7,871,4779771,2,11,6194910,307,7157558,7,8973,37,483,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample13.exe,562fb73a55146153e0e526467d940edb,Machine4,1994,5116162,2,7,5935057,485,6321572,7,12159,63,837,,1
sample14.exe,39c0ee662bab741fe63417b0e93b9f4b,Machine3,1709,4622146,2,7,5826051,243,6853714,9,13425,22,809,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample15.exe,e5ad5e52c6a57924e97a347d3daa0131,Machine3,849,4237459,2,11,6176879,314,6908107,3,14737,20,924,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample16.exe,3c623178d3105a0c6f15c621adeb836f,Machine3,1114,5122548,3,10,5978082,337,6638259,6,4458,25,374,,1
sample17.exe,44a48414a52af618f4af79adeda421a3,Machine7,1407,4411130,1,7,6232912,117,6494370,6,10920,40,1018,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample18.exe,875d73cbb31134188e0132576bc2b20a,Machine5,1760,4920780,3,10,5572339,336,6412218,5,11757,63,981,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample19.exe,dbcfe3eb94e414b51a98360dc89b72e1,Machine7,503,4918942,2,11,6099538,214,6389840,8,13258,48,907,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample20.exe,824e019860724b271980d8a3d37c71ff,Machine1,665,4949543,1,7,5460786,275,6652444,3,11046,26,643,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample21.exe,b4da1f41b1d367b41eef670a6582d650,Machine5,1915,4816341,1,10,5818301,294,6666633,4,8515,42,402,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample22.exe,c83d48661949fdd69212d99555c19a65,Machine10,1602,4429389,1,7,5442026,367,6682469,4,16316,43,174,,1
sample23.exe,4aa5b0c07d9cebf6659f979a8ec8837e,Machine3,1469,4688817,4,7,5698514,493,7303176,6,8847,32,489,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample24.exe,3ccb66dd425f77c1df8ec6c5d0fd5e44,Machine2,1023,4228378,3,10,5320732,396,7188625,5,11748,50,273,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample25.exe,885b17d126260dc4220b4e24102af96e,Machine7,1284,4436339,3,10,5670691,147,7272176,8,4842,38,239,,1
sample26.exe,d7ed0981e3838c8c1143a2a7dfb53085,Machine2,1584,4703372,3,7,5759285,360,6447340,5,7858,44,283,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample27.exe,3ab10668afa030363bfc9cce20622be2,Machine8,1135,4721905,2,11,5287706,494,6776028,9,10284,44,182,,0
sample28.exe,3997dc25ace4bfa665333b6ee3a90708,Machine6,603,4506560,3,7,5442929,354,7235225,4,12628,30,751,,1
sample29.exe,ec14a57b505cfc3b15c34c01b73bbbb4,Machine7,1199,4270337,4,11,5379431,234,7212382,8,4660,53,841,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample30.exe,d1eba0cf797d34972a93f36c90511d3d,Machine2,629,4738468,4,7,5903914,474,7318651,8,6041,41,531,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample31.exe,c6219f7f743b3d450fe8e42570057a61,Machine7,1808,4865802,3,10,5697326,428,6324325,9,8364,21,327,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample32.exe,6c3fe59b0c95a271c5862db9bf03f1f2,Machine7,948,4968298,4,11,5599429,492,7116475,5,8273,18,711,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample33.exe,088a30efd0d5b1699e3b582f07202d75,Machine7,1353,5167392,3,11,5626396,300,6612347,8,12933,51,997,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample34.exe,cfeeaf75a202c67bf01c04b451018d40,Machine7,1404,4400638,4,7,5726335,329,6348766,6,4807,27,555,,0
sample35.exe,2a3016c44aa6992e1d09d72c7f1afd55,Machine3,1919,4398364,1,7,5824683,118,6837241,6,10052,29,750,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample36.exe,a62a6de81e385657276d7618d4dc4e43,Machine6,976,4713146,1,11,6104147,102,6321211,5,11871,51,814,,1
sample37.exe,8dc2271d4088e683501ba271d3855a92,Machine3,873,4700866,2,10,5951550,297,6595770,6,15709,47,802,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample38.exe,621fd2c24cacebdd29888dcd1f24ed25,Machine3,1349,4426460,1,11,5339978,321,6589714,8,4202,46,801,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample39.exe,c5e178667fe02e00c64923362e4c985b,Machine4,939,4977729,2,11,5811402,329,6363660,9,4850,21,202,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample40.exe,8577850de472fc487df023797a378280,Machine3,1539,4834509,1,10,6216329,200,7080833,6,5723,45,503,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample41.exe,4d8ec0db832ce0f7eac5a3121a5bdb0b,Machine10,631,4716883,4,10,5719259,462,6698267,5,11755,43,965,,0
sample42.exe,1eae6c0eaf4cc58fcd31c97af1e9310e,Machine4,1630,5151279,2,7,6099683,257,7328266,6,5033,17,604,,0
sample43.exe,98e72792c2cf4b9c98d832d7e21e132a,Machine9,972,4602449,4,7,6273867,255,6825923,3,15570,56,942,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample44.exe,f1ba8fd5b26763c5cc592d30073fb343,Machine6,713,4878756,4,7,5786464,245,7153597,6,8605,42,339,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample45.exe,eb0a445eaf937fe905e5e582129e5d51,Machine5,1808,4488391,2,10,5763238,495,6718224,7,8178,44,551,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample46.exe,80f8e5b0bd4c1fa89b59f7e4efb3d1f7,Machine6,1379,4547893,1,11,5625887,405,6782235,4,9580,55,542,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample47.exe,626550a93ddd60f3a77ba59ff8b4e31e,Machine2,1333,4630214,1,10,5320435,428,7260796,3,14985,55,351,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample48.exe,2dd27946340946178963de397feab20d,Machine6,1344,4739721,4,7,5332886,444,6459142,5,8246,49,1007,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample49.exe,7c668350b4ef5b8573906462d0f879ce,Machine9,1791,4574735,3,11,5705086,103,6314496,4,15240,57,303,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample50.exe,2d51a89a2b3029e3bc1d5f9436a1886d,Machine3,1805,5135122,3,7,5338971,212,7231495,7,11289,63,1022,,1
sample51.exe,a6c7aef132716eab6c503aaf9031b9bb,Machine10,1883,4523165,2,11,6264633,111,6683289,4,14497,61,232,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample52.exe,6e5912a0bb77e679c93300f70085d3f1,Machine10,1358,4518581,4,10,5626901,413,6543427,6,12817,48,497,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample53.exe,542de807b9dd8d24bd69897889b19192,Machine6,1249,4688828,2,7,5435105,243,7112507,4,6575,20,831,,1
